Workflow ID,APE version,Has bug,Question,Constraint,Ontology,Workflow length,Signature error,Semantic imprecision error,Redundancy error,Data quality error,Correct answer?,Notes,Workflow description
1.F.11,0.9.1,0.00,1.00,,Full,4.00,0.00,0.00,1.00,0.00,1.00,Correct assuming the reclassification classifies to TRUE if raster value is 0.,NominalAObjectPoint(MemT0.0) LatticeVectorA(MemT0.1) [MemT0.0] <- (UsedT0.0) NominalAObjectPoint(UsedT0.0) EuclideanDistanceObjectVector(Tool1) FieldRasterRatioAIRA(MemT1.0) [MemT1.0] <- (UsedT1.0) FieldRasterRatioAIRA(UsedT1.0) ReclassifyFieldRasterToBoolean(Tool2) NoDataExistenceRaster(MemT2.0) [MemT2.0] <- (UsedT2.0) NoDataExistenceRaster(UsedT2.0) [MemT0.0] <- (UsedT2.1) NominalAObjectPoint(UsedT2.1) ExtractFieldRasterValuestoObjectPointBoolean(Tool3) BooleanAObjectPoint(MemT3.0) [MemT3.0] <- (UsedT3.0) BooleanAObjectPoint(UsedT3.0) [MemT0.1] <- (UsedT3.1) LatticeVectorA(UsedT3.1) SpatialJoinCountTess(Tool4) CountALatticeVectorAERA(MemT4.0) [MemT4.0] <- (UsedT4.0) CountALatticeVectorAERA(UsedT4.0)
1.F.12,0.9.1,0.00,1.00,,Full,4.00,0.00,0.00,1.00,1.00,1.00,"Given a proper kernel radius and reclassification table, it can turn out to be correct. But I gave it a data quality error because it is not certain that it is correct",NominalAObjectPoint(MemT0.0) LatticeVectorA(MemT0.1) [MemT0.0] <- (UsedT0.0) NominalAObjectPoint(UsedT0.0) KernelDensity(Tool1) FieldRasterRatioA(MemT1.0) [MemT1.0] <- (UsedT1.0) FieldRasterRatioA(UsedT1.0) ReclassifyFieldRasterToBoolean(Tool2) NoDataExistenceRaster(MemT2.0) [MemT2.0] <- (UsedT2.0) NoDataExistenceRaster(UsedT2.0) ExistenceRasterToObjectPointBoolean(Tool3) BooleanAObjectPoint(MemT3.0) [MemT3.0] <- (UsedT3.0) BooleanAObjectPoint(UsedT3.0) [MemT0.1] <- (UsedT3.1) LatticeVectorA(UsedT3.1) SpatialJoinCountTess(Tool4) CountALatticeVectorAERA(MemT4.0) [MemT4.0] <- (UsedT4.0) CountALatticeVectorAERA(UsedT4.0)
1.F.13,0.9.1,0.00,1.00,,Full,4.00,0.00,0.00,1.00,0.00,1.00,,NominalAObjectPoint(MemT0.0) LatticeVectorA(MemT0.1) [MemT0.0] <- (UsedT0.0) NominalAObjectPoint(UsedT0.0) KernelDensity(Tool1) FieldRasterRatioA(MemT1.0) [MemT1.0] <- (UsedT1.0) FieldRasterRatioA(UsedT1.0) [MemT0.0] <- (UsedT1.1) NominalAObjectPoint(UsedT1.1) ExtractFieldRasterValuestoObjectPointRatio(Tool2) ObjectPointRatioA(MemT2.0) [MemT1.0] <- (UsedT2.0) FieldRasterRatioA(UsedT2.0) [MemT2.0] <- (UsedT2.1) ObjectPointRatioA(UsedT2.1) ExtractFieldRasterValuestoObjectPointRatio(Tool3) ObjectPointRatioA(MemT3.0) [MemT3.0] <- (UsedT3.0) ObjectPointRatioA(UsedT3.0) [MemT0.1] <- (UsedT3.1) LatticeVectorA(UsedT3.1) SpatialJoinCountTess(Tool4) CountALatticeVectorAERA(MemT4.0) [MemT4.0] <- (UsedT4.0) CountALatticeVectorAERA(UsedT4.0)
1.F.14,0.9.1,0.00,1.00,,Full,4.00,0.00,0.00,1.00,0.00,1.00,,NominalAObjectPoint(MemT0.0) LatticeVectorA(MemT0.1) [MemT0.0] <- (UsedT0.0) NominalAObjectPoint(UsedT0.0) ObjectVectorToExistenceRaster(Tool1) NoDataExistenceRaster(MemT1.0) [MemT1.0] <- (UsedT1.0) NoDataExistenceRaster(UsedT1.0) [MemT0.0] <- (UsedT1.1) NominalAObjectPoint(UsedT1.1) ExtractFieldRasterValuestoObjectPointBoolean(Tool2) BooleanAObjectPoint(MemT2.0) [MemT1.0] <- (UsedT2.0) NoDataExistenceRaster(UsedT2.0) [MemT2.0] <- (UsedT2.1) BooleanAObjectPoint(UsedT2.1) ExtractFieldRasterValuestoObjectPointBoolean(Tool3) BooleanAObjectPoint(MemT3.0) [MemT3.0] <- (UsedT3.0) BooleanAObjectPoint(UsedT3.0) [MemT0.1] <- (UsedT3.1) LatticeVectorA(UsedT3.1) SpatialJoinCountTess(Tool4) CountALatticeVectorAERA(MemT4.0) [MemT4.0] <- (UsedT4.0) CountALatticeVectorAERA(UsedT4.0)
1.F.15,0.9.1,0.00,1.00,,Full,4.00,0.00,0.00,1.00,0.00,1.00,,NominalAObjectPoint(MemT0.0) LatticeVectorA(MemT0.1) [MemT0.0] <- (UsedT0.0) NominalAObjectPoint(UsedT0.0) ObjectPointToExistenceRaster(Tool1) NoDataExistenceRaster(MemT1.0) [MemT1.0] <- (UsedT1.0) NoDataExistenceRaster(UsedT1.0) ExistenceRasterToObjectPointBoolean(Tool2) BooleanAObjectPoint(MemT2.0) [MemT1.0] <- (UsedT2.0) NoDataExistenceRaster(UsedT2.0) [MemT2.0] <- (UsedT2.1) BooleanAObjectPoint(UsedT2.1) ExtractFieldRasterValuestoObjectPointBoolean(Tool3) BooleanAObjectPoint(MemT3.0) [MemT3.0] <- (UsedT3.0) BooleanAObjectPoint(UsedT3.0) [MemT0.1] <- (UsedT3.1) LatticeVectorA(UsedT3.1) SpatialJoinCountTess(Tool4) CountALatticeVectorAERA(MemT4.0) [MemT4.0] <- (UsedT4.0) CountALatticeVectorAERA(UsedT4.0)
1.F.16,0.9.1,0.00,1.00,,Full,4.00,0.00,0.00,1.00,0.00,1.00,,NominalAObjectPoint(MemT0.0) LatticeVectorA(MemT0.1) [MemT0.0] <- (UsedT0.0) NominalAObjectPoint(UsedT0.0) ObjectPointToExistenceRaster(Tool1) NoDataExistenceRaster(MemT1.0) [MemT1.0] <- (UsedT1.0) NoDataExistenceRaster(UsedT1.0) [MemT0.0] <- (UsedT1.1) NominalAObjectPoint(UsedT1.1) ExtractFieldRasterValuestoObjectPointBoolean(Tool2) BooleanAObjectPoint(MemT2.0) [MemT1.0] <- (UsedT2.0) NoDataExistenceRaster(UsedT2.0) [MemT2.0] <- (UsedT2.1) BooleanAObjectPoint(UsedT2.1) ExtractFieldRasterValuestoObjectPointBoolean(Tool3) BooleanAObjectPoint(MemT3.0) [MemT3.0] <- (UsedT3.0) BooleanAObjectPoint(UsedT3.0) [MemT0.1] <- (UsedT3.1) LatticeVectorA(UsedT3.1) SpatialJoinCountTess(Tool4) CountALatticeVectorAERA(MemT4.0) [MemT4.0] <- (UsedT4.0) CountALatticeVectorAERA(UsedT4.0)
1.F.17,0.9.1,0.00,1.00,,Full,4.00,0.00,0.00,1.00,1.00,1.00,"Given a proper kernel radius and reclassification table, it can turn out to be correct. But I gave it a data quality error because it is not certain that it is correct",NominalAObjectPoint(MemT0.0) LatticeVectorA(MemT0.1) [MemT0.0] <- (UsedT0.0) NominalAObjectPoint(UsedT0.0) KernelDensity(Tool1) FieldRasterRatioA(MemT1.0) [MemT1.0] <- (UsedT1.0) FieldRasterRatioA(UsedT1.0) ReclassifyFieldRasterToBoolean(Tool2) NoDataExistenceRaster(MemT2.0) [MemT2.0] <- (UsedT2.0) NoDataExistenceRaster(UsedT2.0) [MemT0.0] <- (UsedT2.1) NominalAObjectPoint(UsedT2.1) ExtractFieldRasterValuestoObjectPointBoolean(Tool3) BooleanAObjectPoint(MemT3.0) [MemT3.0] <- (UsedT3.0) BooleanAObjectPoint(UsedT3.0) [MemT0.1] <- (UsedT3.1) LatticeVectorA(UsedT3.1) SpatialJoinCountTess(Tool4) CountALatticeVectorAERA(MemT4.0) [MemT4.0] <- (UsedT4.0) CountALatticeVectorAERA(UsedT4.0)
1.F.18,0.9.1,0.00,1.00,,Full,4.00,0.00,0.00,1.00,0.00,1.00,"Assuming the sport facilities are separated enough, the answer is still correct and without loss of quality",NominalAObjectPoint(MemT0.0) LatticeVectorA(MemT0.1) [MemT0.0] <- (UsedT0.0) NominalAObjectPoint(UsedT0.0) ObjectVectorToExistenceRaster(Tool1) NoDataExistenceRaster(MemT1.0) [MemT1.0] <- (UsedT1.0) NoDataExistenceRaster(UsedT1.0) ReclassifyFieldRasterToBoolean(Tool2) NoDataExistenceRaster(MemT2.0) [MemT2.0] <- (UsedT2.0) NoDataExistenceRaster(UsedT2.0) ExistenceRasterToObjectLineBoolean(Tool3) BooleanAObjectLine(MemT3.0) [MemT3.0] <- (UsedT3.0) BooleanAObjectLine(UsedT3.0) [MemT0.1] <- (UsedT3.1) LatticeVectorA(UsedT3.1) SpatialJoinCountTess(Tool4) CountALatticeVectorAERA(MemT4.0) [MemT4.0] <- (UsedT4.0) CountALatticeVectorAERA(UsedT4.0)
1.F.19,0.9.1,0.00,1.00,,Full,4.00,0.00,0.00,1.00,0.00,1.00,,NominalAObjectPoint(MemT0.0) LatticeVectorA(MemT0.1) [MemT0.0] <- (UsedT0.0) NominalAObjectPoint(UsedT0.0) ObjectVectorToExistenceRaster(Tool1) NoDataExistenceRaster(MemT1.0) [MemT1.0] <- (UsedT1.0) NoDataExistenceRaster(UsedT1.0) FocalStatisticsExistenceRaster(Tool2) FieldRasterRatioA(MemT2.0) [MemT2.0] <- (UsedT2.0) FieldRasterRatioA(UsedT2.0) [MemT0.0] <- (UsedT2.1) NominalAObjectPoint(UsedT2.1) ExtractFieldRasterValuestoObjectPointRatio(Tool3) ObjectPointRatioA(MemT3.0) [MemT3.0] <- (UsedT3.0) ObjectPointRatioA(UsedT3.0) [MemT0.1] <- (UsedT3.1) LatticeVectorA(UsedT3.1) SpatialJoinCountTess(Tool4) CountALatticeVectorAERA(MemT4.0) [MemT4.0] <- (UsedT4.0) CountALatticeVectorAERA(UsedT4.0)
1.F.20,0.9.1,0.00,1.00,,Full,4.00,0.00,0.00,1.00,1.00,1.00,"Given a proper kernel radius and reclassification table, it can turn out to be correct. But I gave it a data quality error because it is not certain that it is correct",NominalAObjectPoint(MemT0.0) LatticeVectorA(MemT0.1) [MemT0.0] <- (UsedT0.0) NominalAObjectPoint(UsedT0.0) KernelDensity(Tool1) FieldRasterRatioA(MemT1.0) [MemT1.0] <- (UsedT1.0) FieldRasterRatioA(UsedT1.0) ReclassifyFieldRasterToBoolean(Tool2) NoDataExistenceRaster(MemT2.0) [MemT2.0] <- (UsedT2.0) NoDataExistenceRaster(UsedT2.0) ExistenceRasterToObjectLineBoolean(Tool3) BooleanAObjectLine(MemT3.0) [MemT3.0] <- (UsedT3.0) BooleanAObjectLine(UsedT3.0) [MemT0.1] <- (UsedT3.1) LatticeVectorA(UsedT3.1) SpatialJoinCountTess(Tool4) CountALatticeVectorAERA(MemT4.0) [MemT4.0] <- (UsedT4.0) CountALatticeVectorAERA(UsedT4.0)
1.S.01,0.9.1,0.00,1.00,,SOTA,1.00,1.00,1.00,0.00,0.00,0.00,"Nominal attribute cannot be summed. The answer should be a count, not a sum.",PointA(MemT0.0) VectorRegionA(MemT0.1) PointA(UsedT0.0) [MemT0.0] <- (UsedT0.0) VectorRegionA(UsedT0.1) [MemT0.1] <- (UsedT0.1) SpatialJoinSumPoint(Tool1) VectorRegionA(MemT1.0) [MemT1.0] <- (UsedT1.0) VectorRegionA(UsedT1.0)
1.S.02,0.9.1,0.00,1.00,,SOTA,1.00,0.00,0.00,0.00,0.00,1.00,,PointA(MemT0.0) VectorRegionA(MemT0.1) PointA(UsedT0.0) [MemT0.0] <- (UsedT0.0) VectorRegionA(UsedT0.1) [MemT0.1] <- (UsedT0.1) SpatialJoinCountPoint(Tool1) VectorRegionA(MemT1.0) [MemT1.0] <- (UsedT1.0) VectorRegionA(UsedT1.0)
1.S.03,0.9.1,0.00,1.00,,SOTA,1.00,1.00,1.00,0.00,0.00,0.00,Nominal attribute cannot be averaged. Answer should be a count,PointA(MemT0.0) VectorRegionA(MemT0.1) PointA(UsedT0.0) [MemT0.0] <- (UsedT0.0) VectorRegionA(UsedT0.1) [MemT0.1] <- (UsedT0.1) SpatialJoinMeanPoint(Tool1) VectorRegionA(MemT1.0) [MemT1.0] <- (UsedT1.0) VectorRegionA(UsedT1.0)
1.S.04,0.9.1,0.00,1.00,,SOTA,2.00,1.00,1.00,0.00,0.00,0.00,,PointA(MemT0.0) VectorRegionA(MemT0.1) PointA(UsedT0.0) [MemT0.0] <- (UsedT0.0) VectorRegionA(UsedT0.1) [MemT0.1] <- (UsedT0.1) SpatialJoinMeanPoint(Tool1) VectorRegionA(MemT1.0) [MemT0.1] <- (UsedT1.0) VectorRegionA(UsedT1.0) [MemT1.0] <- (UsedT1.1) VectorRegionA(UsedT1.1) ArealInterpolationRate(Tool2) VectorRegionA(MemT2.0) [MemT2.0] <- (UsedT2.0) VectorRegionA(UsedT2.0)
1.S.05,0.9.1,0.00,1.00,,SOTA,2.00,0.00,1.00,0.00,0.00,0.00,,PointA(MemT0.0) VectorRegionA(MemT0.1) PointA(UsedT0.0) [MemT0.0] <- (UsedT0.0) VectorRegionA(UsedT0.1) [MemT0.1] <- (UsedT0.1) SpatialJoinCountPoint(Tool1) VectorRegionA(MemT1.0) [MemT0.1] <- (UsedT1.0) VectorRegionA(UsedT1.0) [MemT1.0] <- (UsedT1.1) VectorRegionA(UsedT1.1) SpatialJoinCountRegion(Tool2) VectorRegionA(MemT2.0) [MemT2.0] <- (UsedT2.0) VectorRegionA(UsedT2.0)
1.S.06,0.9.1,0.00,1.00,,SOTA,2.00,1.00,1.00,1.00,0.00,0.00,Nominal attribute cannot be summed.,PointA(MemT0.0) VectorRegionA(MemT0.1) PointA(UsedT0.0) [MemT0.0] <- (UsedT0.0) VectorRegionA(UsedT0.1) [MemT0.1] <- (UsedT0.1) SpatialJoinSumPoint(Tool1) VectorRegionA(MemT1.0) [MemT0.0] <- (UsedT1.0) PointA(UsedT1.0) [MemT1.0] <- (UsedT1.1) VectorRegionA(UsedT1.1) SpatialJoinSumPoint(Tool2) VectorRegionA(MemT2.0) [MemT2.0] <- (UsedT2.0) VectorRegionA(UsedT2.0)
1.S.07,0.9.1,0.00,1.00,,SOTA,2.00,0.00,1.00,0.00,0.00,0.00,,PointA(MemT0.0) VectorRegionA(MemT0.1) PointA(UsedT0.0) [MemT0.0] <- (UsedT0.0) ThiessenPolygonsRegion(Tool1) VectorRegionA(MemT1.0) [MemT1.0] <- (UsedT1.0) VectorRegionA(UsedT1.0) [MemT0.1] <- (UsedT1.1) VectorRegionA(UsedT1.1) SpatialJoinCountRegion(Tool2) VectorRegionA(MemT2.0) [MemT2.0] <- (UsedT2.0) VectorRegionA(UsedT2.0)
1.S.08,0.9.1,0.00,1.00,,SOTA,2.00,0.00,1.00,0.00,0.00,0.00,,PointA(MemT0.0) VectorRegionA(MemT0.1) PointA(UsedT0.0) [MemT0.0] <- (UsedT0.0) ThiessenPolygonsRegion(Tool1) VectorRegionA(MemT1.0) [MemT0.1] <- (UsedT1.0) VectorRegionA(UsedT1.0) [MemT1.0] <- (UsedT1.1) VectorRegionA(UsedT1.1) SpatialJoinCountRegion(Tool2) VectorRegionA(MemT2.0) [MemT2.0] <- (UsedT2.0) VectorRegionA(UsedT2.0)
1.S.09,0.9.1,0.00,1.00,,SOTA,2.00,0.00,1.00,0.00,0.00,0.00,,PointA(MemT0.0) VectorRegionA(MemT0.1) PointA(UsedT0.0) [MemT0.0] <- (UsedT0.0) VectorRegionA(UsedT0.1) [MemT0.1] <- (UsedT0.1) SpatialJoinCountPoint(Tool1) VectorRegionA(MemT1.0) [MemT1.0] <- (UsedT1.0) VectorRegionA(UsedT1.0) [MemT0.1] <- (UsedT1.1) VectorRegionA(UsedT1.1) SpatialJoinCountRegion(Tool2) VectorRegionA(MemT2.0) [MemT2.0] <- (UsedT2.0) VectorRegionA(UsedT2.0)
1.S.10,0.9.1,0.00,1.00,,SOTA,2.00,1.00,1.00,0.00,0.00,0.00,Nominal attribute cannot be summed,PointA(MemT0.0) VectorRegionA(MemT0.1) PointA(UsedT0.0) [MemT0.0] <- (UsedT0.0) VectorRegionA(UsedT0.1) [MemT0.1] <- (UsedT0.1) SpatialJoinSumPoint(Tool1) VectorRegionA(MemT1.0) [MemT1.0] <- (UsedT1.0) VectorRegionA(UsedT1.0) [MemT0.1] <- (UsedT1.1) VectorRegionA(UsedT1.1) SpatialJoinCountRegion(Tool2) VectorRegionA(MemT2.0) [MemT2.0] <- (UsedT2.0) VectorRegionA(UsedT2.0)
1.S.11,0.9.1,0.00,1.00,,SOTA,2.00,1.00,1.00,0.00,0.00,0.00,Nominal attribute cannot be averaged,PointA(MemT0.0) VectorRegionA(MemT0.1) PointA(UsedT0.0) [MemT0.0] <- (UsedT0.0) VectorRegionA(UsedT0.1) [MemT0.1] <- (UsedT0.1) SpatialJoinMeanPoint(Tool1) VectorRegionA(MemT1.0) [MemT1.0] <- (UsedT1.0) VectorRegionA(UsedT1.0) [MemT0.1] <- (UsedT1.1) VectorRegionA(UsedT1.1) SpatialJoinCountRegion(Tool2) VectorRegionA(MemT2.0) [MemT2.0] <- (UsedT2.0) VectorRegionA(UsedT2.0)
1.S.12,0.9.1,0.00,1.00,,SOTA,2.00,1.00,1.00,0.00,0.00,0.00,Nominal attribute cannot be averaged,PointA(MemT0.0) VectorRegionA(MemT0.1) PointA(UsedT0.0) [MemT0.0] <- (UsedT0.0) VectorRegionA(UsedT0.1) [MemT0.1] <- (UsedT0.1) SpatialJoinMeanPoint(Tool1) VectorRegionA(MemT1.0) [MemT0.1] <- (UsedT1.0) VectorRegionA(UsedT1.0) [MemT1.0] <- (UsedT1.1) VectorRegionA(UsedT1.1) SpatialJoinCountRegion(Tool2) VectorRegionA(MemT2.0) [MemT2.0] <- (UsedT2.0) VectorRegionA(UsedT2.0)
1.S.13,0.9.1,0.00,1.00,,SOTA,2.00,1.00,1.00,0.00,0.00,0.00,Nominal attribute cannot be summed,PointA(MemT0.0) VectorRegionA(MemT0.1) PointA(UsedT0.0) [MemT0.0] <- (UsedT0.0) VectorRegionA(UsedT0.1) [MemT0.1] <- (UsedT0.1) SpatialJoinSumPoint(Tool1) VectorRegionA(MemT1.0) [MemT0.1] <- (UsedT1.0) VectorRegionA(UsedT1.0) [MemT1.0] <- (UsedT1.1) VectorRegionA(UsedT1.1) SpatialJoinCountRegion(Tool2) VectorRegionA(MemT2.0) [MemT2.0] <- (UsedT2.0) VectorRegionA(UsedT2.0)
